id,title,time,director,year,star1,star2,star3,star4,star5,star6,tomatome_rating,audience_rating,review1,review2,review3,review4,review5
13,The Last Godfather,1 hr. 40 min.,Hyung-rae Shim,2011,Harvey Keitel,Hyung-rae Shim,Jason Mewes,Michael Rispoli,Jocelin Donahue,Blake Clark,0,30,"""The Last Godfather"" is more harmlessly amiable than outright awful, though it might still be best to just forget about it.","although not offensively bad, there is little to recommend this knockabout comedy.",,,
14,Unanswered Prayers,1 hr. 25 min.,Steven Schachter,2010,Eric Close,Mädchen Amick,Samantha Mathis,Tony Oller,Alex Frnka,Jennifer Aspen,0,41,,,,,
15,Clash,1 hr. 40 min.,Lê Thanh Son,2011,Thanh Van Ngo,Johnny Tri Nguyen,Hieu Hien,Hoàng Phúc,Lam Minh Thang,Hi?u Hi?n,0,53,"A dazzling Vietnamese martial arts movie with a soul, a stylish, gorgeously photographed film in which action sequences are punctuated by serene vistas of natural beauty.",an impressive all-out actioner that fans of films such as Jason Statham's Transporter trilogy will adore.,,,
16,Super,1 hr. 36 min.,James Gunn,2011,Rainn Wilson,Ellen Page,Liv Tyler,Kevin Bacon,Michael Rooker,Andre Royo,48,55,"If I hadn't foolishly gone and saw Sucker Punch a couple weeks ago, this would be the worst film of the year.",Gunn's movie is an ingeniously nasty concoction that feeds the cult of superhero fandom back into itself.,"Great dark humor and enjoyable performances make this one a winner. Surprisingly, the animated sequences also work quite well.","The graphic violence spatters along for an hour and a half until we reach that point when writer-director James Gunn says, ""That's all I've got"" and basically gives up.","[Not] an easily digestible movie but this is ... the point - in a world where everything isn't as cut and dry as 'good versus evil', rationality is increasingly rare."
17,The Boxer And The Bombshell,,Jonathan Ogilvie,2008,Hugo Weaving,John Batchelor,Luke Carroll,Matthew Le Nevez,Pia Miranda,Rose Byrne,0,21,,,,,
18,Playing House,10 min.,Tom Vaughan,2010,Craig Welzbacher,Mayra Leal,Sarah Prikryl,Matt Lusk,Alex Dorman,Shelley Calene-Black,0,20,,,,,
19,The Conspirator,2 hr. 2 min.,Robert Redford,2011,James McAvoy,Tom Wilkinson,Evan Rachel Wood,Kevin Kline,Alexis Bledel,Justin Long,55,62,"Robert Redford teams with The American Film Company for The Conspirator, a project better left to the History Channel than the big screen.","Wonderfully cast and carefully shot, there's barely a hint of a great filmmaker working with a fraction of his normal budget in this period piece...","If nothing else, this is certain to have a long life playing in middle school history classes for decades to come.","The Conspirator deserves a lot more praise than it got on initial release: yes it is slow in parts and even provocatively tentative, but it is intricately crafted, a wonderful example of precision and attention to detail.",full review at Movies for the Masses
20,Jane Eyre,2 hr. 1 min.,Cary Joji Fukunaga,2011,Mia Wasikowska,Michael Fassbender,Jamie Bell,Judi Dench,Holliday Grainger,Sally Hawkins,84,76,"Screenwriter Moira Buffini sticks pretty closely to the novel, and director Cary Fukunaga conjures a drab tone that nicely sets off the characters' violent but rigidly controlled passions.","Duttiful, for the most part adequate and, as far as I can see, it has no compelling reason to exist","A rather anemic version of Charlotte Bronte's classic novel, Focus Film and BBC's Jane Eyre favors atmosphere over strong narrative.","Pretty as a postcard -- a postcard of a dark grey, gloomy, windswept moor","Thanks to this beautifully crafted treatment, newcomers and veterans will learn something about the past and more than likely a few things (wanted or not) about themselves."
21,Smoke Screen,1 hr. 28 min.,Gary Yates,2010,Jaime Pressly,Currie Graham,Jason Diablo,Brendan Fletcher,Dustin Brooks,Marie Avgeropoulos,0,18,,,,,
22,Something Borrowed,1 hr. 52 min.,Luke Greenfield,2011,Kate Hudson,Ginnifer Goodwin,Colin Egglesfield,John Krasinski,Ashley Williams,Steve Howey,15,48,"From its empty soul to its poorly framed shots ready for pan-and-scan conversion, Something Borrowed seems primed to play on Saturday afternoons on E!, sandwiched between reruns of Keeping Up with the Kardashians...","Chemistry-free casting (Ginnifer Goodwin and John Krasinski) and a flawed premise, not the recipe for a great romance",The work of the lead trio keeps the movie from ever becoming something blue.,"No romantic drama has ever been so misguided and eager for you to root against its characters. This tacky, morally abhorrent film is unbearable.","While Something Borrowed obviously wants to explore themes of competitiveness and betrayal in female friendships, it seems to feel compelled to hit pre-programmed chick flick beats at regular intervals."
23,The Grace Card,1 hr. 41 min.,David G. Evans,2011,Louis Gossett Jr,Michael Joiner,Michael Higgenbottom,Cindy Hodge,Rob Erickson,Joy Demichelle Moore,35,81,As stiff as it is sincere.,Movie goers likely will look over The Grace Card's entertainment value to focus on this simple prescription for how to gracefully love your neighbor.,"Blessed with fine performances, credible dialogue and slick production values that belie a reportedly paltry budget, The Grace Card ranks among the better religious-themed indies released in recent years.",It's OK to put out a movie with a message. But rendering even potentially dramatic stories so inoffensive that they bear no relation to reality makes for middling drama.,"Despite its lapse into melodrama, this faith-based drama is surprisingly effective."
24,Meet Monica Velour,1 hr. 37 min.,Keith Bearden,2011,Kim Cattrall,Dustin Ingram,Brian Dennehy,Jee Young Han,Daniel Yelsky,Keith David,48,34,"Pretty good performance, awfully lame movie.","Had first-time director Keith Bearden been as devoted to keeping Meet Monica Velour on track as he did to coming up with punderful porn flick names, he could have had a satisfying dark comedy on his hands.","The role of a former star of the ''golden age'' of porn sounds perfect for Kim Cattrall, and she handles it nicely - at least, in the rare moments when this indie comedy isn't terminally contrived.",You really come away wishing Cattrall could take this character to a more serious film. Who better to show the flip side of beauty?,"Better than its premise would suggest, the film works to the degree that it does thanks to the well-drawn characterizations and the frequent doses of sly, subtle humor."
25,The Bang Bang Club,1 hr. 46 min.,Steven Silver,2011,Ryan Phillippe,Taylor Kitsch,Malin Akerman,Frank Rautenbach,Neels VanJaarsveld,,49,60,A queasy mix of high-toned intentions and commercial compromises.,Silver cut his teeth in documentaries and it shows in the skilled on-the-ground style of the camerawork. But visuals are only half the story and the plot doesn't keep up.,"""The Bang Bang Club"" divulges little insight into what keeps this dangerous brotherhood banging away around the world.",This is one of those relatively rare movies that gets better and smarter as it goes along...,"Seldom does ""The Bang Bang Club"" show much interest in the big picture of South Africa."
26,The Wereth Eleven,1 hr. 10 min.,Robert Child,2011,Corey Reynolds,Ken Arnold,Chris Cudzilo,Thomas McArdle,,,0,0,,,,,
27,Road To Nowhere,2 hr. 1 min.,Monte Hellman,2011,Shannyn Sossamon,Tygh Runyan,Cliff De Young,Waylon Payne,Dominique Swain,Lathan McKay,80,39,"The final scene offers clarity, at least, if not a satisfying payoff.","""The Road to Nowhere"" plays like an exercise in frustrating audiences.","Ultimately, the film gets too clever and confusing for its own good, while the slow pacing zaps momentum from the story (and the story within the story).","A rabbit hole of enigmatic characters and swampy motives...Shot by shot, the film has a burnished, beautiful sheen.","""Road to Nowhere"" is a beautifully made, glorious mess."
28,I Will Follow,1 hr. 21 min.,Ava DuVernay,2011,Salli Richardson-Whi...,Omari Hardwick,Beverly Todd,Dijon Talton,Michole Briana White,Tracie Thoms,80,67,"There's smooth-jazz polish to the emotions, even the unpleasant ones, in ""I Will Follow.""","I Will Follow, Ava DuVernay's triumphant feature debut, is a life-affirming portrait of a woman, Maye (Salli Richardson-Whitfield), juggling all kinds of loss.","This touching if insular drama about a woman grieving over the recent death of her aunt is well acted and incisively observed, although it's ultimately too low-key to have much dramatic impact.","Shows a certain amount of promise but often falls prey to easy emotional beats and an overall sentimentality when it should push for moments less obvious, more rare, true and insightful.","As a director, DuVernay handles her actors with care, though visually the picture sometimes betrays its shoestring budget."
29,The High Cost of Living,1 hr. 32 min.,Deborah Chow,2011,Zach Braff,Isabelle Blais,Patrick Labbé,Julian Lo,,,53,58,So artistically well-intentioned and earnest in its ambitions that you can almost forgive the banality of its every scene.,"Movies often make too much of that truism, but surprisingly committed performances from actors like these can still make it feel like something meaningful.",Ridiculously implausible yet still predictable.,"Chow and her actors are so gifted that this fragile situation escapes contrivance to become a poignant, romantic and deftly nuanced revelation of character and emotions.",An already iffy premise is badly served by a film that is tonally jarring.
30,Leading Ladies,1 hr. 42 min.,Daniel Beahm,2012,Laurel Vail,Shannon Lea Smith,Benji Schwimmer,Nicole Dionne,Melanie LaPatin,,0,75,,,,,
31,The Beaver,1 hr. 31 min.,Jodie Foster,2011,Mel Gibson,Jodie Foster,Anton Yelchin,Riley Thomas Stewart,Jennifer Lawrence,Zachary Booth,61,55,It's a bummer of a movie -- dark and at cross-purposes with both itself and any image do-over [Gibson] might be seeking.,"It doesn't quite work, but it does provide something of a cinematic exorcism for the public's increasingly conflicted relationship with Gibson.","Thinks it's a whimsical tale of a man finding himself, but Gibson thinks it's the tale of a man losing his mind.","Jodie Foster's The Beaver had its moments, but the overall premise just didn't fly. I just couldn't buy the idea of the talking puppet.",Mel Gibson's last hurrah
32,Poetry,2 hr. 19 min.,Chang-dong Lee,2011,Yun Junghee,David Lee,Lee David,Jeong-hie Yun,Kim Hara,An Naesang,100,85,"True to the title, writer-director Lee Chang-dong is principally concerned with rendering emotions that seem inexpressible.",Those with an eye for reading between the lines can find layers of meaning.,"A deceptively gentle tale with a tender ache at its center, as well as a performance from Yun Jung-hee that lingers long in the memory.",Anyone who starts a film going to poetry classes is eventually going to come up with a poem. The one Mija finally delivers will rip your heart to shreds.,Writer and director Chang-dong Lee's film is moving without ever stooping to melodrama; Yun is the main reason why.
33,Florida Road,1 hr. 43 min.,Brad Glass,2010,Ashmit Patel,Cokey Falkon,Vipin Sharma,Smita Jaykar,Cokey Falkow,Priyanshu Chatterjee,0,0,,,,,
34,Blitz,1 hr. 37 min.,Rob Hardy,2011,Jason Statham,Paddy Considine,Aidan Gillen,David Morrissey,Luke Evans,Zawe Ashton,46,36,"It's hard to know how seriously anyone besides Statham is taking this - but that only adds to its absurd, cock-eyed charm.","prospathei na prosferei skhnothetikh poikilia s' ena senario poy para toys grhgoroys rythmoys toy, paramenei kommataki monotono ki epanalhptiko, omws tis sepies toy tis exeis ksanadei kai ta plana toy prodidoyn amhxania","As conventional as you can get without needing an epilogue that says ""...next week on Blitz.""","America, where Statham does the majority of his work these days, seems to appreciate his particular talents. On this evidence, he might want to stick to Hollywood.","...Lester is no Don Siegel and Statham, though credibly formidable, lacks the conscience that made Harry Callahan human..."
35,Trollhunter,1 hr. 43 min.,André Ovredal,2011,Glenn Erland Troster...,Glenn Erland Tosteru...,Tomas Alf Larsen,Johanna Mørch,Hans Morten Hansen,Otto Jespersen,82,72,"The film is shot with handheld cameras in the standard mockumentary style, but the content is often hilarious, especially when the trolls show up.","A leisurely, shambling, deadpan movie about a man who finds trolls and kills them. That's enough.","Not nearly as much fun as it might have been, neither consistently funny nor remotely scary.","Trollhunter adopts the form of a found footage documentary, which translates as lots of banal conversations, abundant shots of the Scandinavian countryside, and competent but shaky handheld camerawork.","TrollHunter is both creepy and funny, a clever combination for this sly monster movie."
36,Neds,2 hr. 4 min.,Peter Mullan,2011,Conor McCarron,Mhairi Anderson,Martin Bell,Gregg Forrest,Peter Mullan,Greg Forrest,94,71,"The casting is good throughout, but McCarron makes the movie.",A stringent street psychodrama in which brutality is an infection and every male is a carrier.,First-timer McCarron is never less than convincing as a baby-faced brute who can elicit a stranger's sympathy as easily as he can inflict devastating comeuppance.,"There's a sense of inevitability about things, certainly, but it seems less written in the stars than unhappily scratched onto the kerb with a flicknife by John himself.","... Despite its bold efforts to the contrary, it ultimately becomes a dehumanising experience and apology for self-ruination."
37,Cold Fish,2 hr. 24 min.,Sion Sono,2011,Mitsuru Fukikoshi,Denden,Asuka Kurosawa,Megumi Kagurazaka,Hikari Kajiwara,Taro Suwa,79,76,"A deliciously warped wallow in misogyny, depravity and dead-eyed manipulation, ""Cold Fish"" charts the twisted alliance of two tropical-fish salesmen with baleful glee.","Cold Fish is wild, head-turning, stomach-churning stuff, and it makes a bracing addition to the overstuffed canon of serial-killer cinema.",,"Smart, devious, audacious filmmaking from a man who's quickly becoming a master at this sort of stuff.","Overlong? A tad. Still, at two-and-a-half hours it's 90 minutes shy of its predecessor Love Exposure. Insane fun? Absolutely. Darkly funny and deliriously absurd in all of its bloody glory, I found it impossible to look away."
38,Win Win,1 hr. 46 min.,Oliver Bokelberg,2011,Paul Giamatti,Amy Ryan,Bobby Cannavale,Jeffrey Tambor,Burt Young,Melanie Lynskey,94,85,"The rare, humanist beauty of Win Win is that none of its characters is a caricature, none of its plot twists a blatant play for tears or laughs, none of its appeal based on some mythical lowest common denominator.","In a still young movie year, Win Win is already on the mat as one of the best.","Tom McCarthy doesn't make great movies, but he makes movies about people I enjoy spending time with.","WIN WIN makes Tom McCarthy three-for-three. Grabbing the affection from the audience is what he wants, and dear reader, he can't lose.",McCarthy understands the thrill of incontrovertible victory and our primal lust for it.
39,Tracker,1 hr. 42 min.,Ian Sharp,2011,Ray Winstone,Temuera Morrison,Andy Anderson,,,,85,51,"A relative lack of action, pared with simplistic message-movie sentiments, that hampers what in any other case is a solid movie.","Ultimately, the drama's more satisfying than exciting, but it's a solid entertainment nonetheless.","What would Ray Winstone sound like if he did a South African accent? Answer: Exactly the same as he would if he was doing a London, Italian or Kathmandu accent. Like either a homicidal tuba or Muttley with a hangover.","With Winstone in the lead you won't expect it to have the action power of Seraphim Falls, which starred Pierce Brosnan and Liam Neeson in 2006, but prepare to be surprised.","There are echoes of classics like Hell In The Pacific in Tracker and the seesawing relationship between the two men is entertainingly handled, if repetitive, until some welcome 11th-hour twists in the plot."
40,Citizen Jane,1 hr. 29 min.,Armand Mastroianni,2009,Ally Sheedy,Meat Loaf,Sean Patrick Flanery,Nia Peeples,Jon Polito,Patty McCormack,0,60,,,,,
41,House of Fallen,1 hr. 35 min.,Robert Stephens,2009,Corbin Bernsen,Eleanor Drew,C. Thomas Howell,Richard Fullerton,William Gregory Lee,Marc Gable,0,0,,,,,
42,Secret Sunshine,2 hr. 22 min.,Chang-dong Lee,2010,Jeon Do-yeon,Song Kang-ho,Kim Yeong-jae,Seon Jeong-Yeob,Yeong-jin Jo,Song Mi-rim,93,79,"There is a natural tendency to appreciate movies that are neat and concise. ""Secret Sunshine"" makes a striking argument for the antithesis.","The cinematic equivalent of prose that is clear, elegant and lyrical.",Buried in the year-end rush but one of the year's best films.,"Secret Sunshine is a frequently beautiful film with a cold, dark heart.","A secular hymn to the small triumphs and cavernous tragedies of the everyday, and to our awesome ability to cope."
43,Sympathy for Delicious,1 hr. 41 min.,Mark Ruffalo,2011,Mark Ruffalo,Christopher Thornton,Orlando Bloom,Juliette Lewis,Laura Linney,Noah Emmerich,29,39,"You can't make this stuff up. Or maybe you can, but you shouldn't.","Mark Ruffalo is one of the best actors of his generation, and I'd like to be able to say that, with his directorial debut, Sympathy for Delicious, he's one of its best filmmakers, too. Alas, this semiexpressionist fantasia is a botch.","While, as director, Ruffalo is a little too fond of hand-held shots, he keeps all the performances simmering and moves the story ahead in simple, straightforward steps.",Interesting but never compelling...,"As it builds, kind of epically, to a thoughtful conclusion, ""Sympathy"" appreciates the places we find after defeating our demons."
44,X: Night of Vengeance,1 hr. 39 min.,Jon Hewitt,2011,Viva Bianca,Peter Docker,Eamon Farren,Hanna Mangan Lawrenc...,Belinda McClory,Stephen Phillips,69,37,,,"X most certainly won't be for everyone, but I found myself enjoying every second of its slick, bordering on camp, nature. It's one of the most alive and confident genre titles to come out of this country in quite some time.",The seedy pic is long on raunchiness and short on credibility.,"The ensuing chase doesn't entirely hang together, with some twists more plausible than others, but the setting's scuzzy, febrile atmosphere adds to the tension and the two leads hold their own."
45,Nola,1 hr. 37 min.,Alan Hruska,2003,Emmy Rossum,Mary McDonnell,Steven Bauer,James Badge Dale,Thom Christopher,Sam Coppola,0,45,Needs to be put out of its misery -- and yours.,So laughably preposterous that it's thoroughly entertaining.,A dubious script that detonates into a full-blown disaster midway through.,"Has everything you want from a good bad movie: overheated drama, overripe performances, arch characters and fruity dialogue.","Pits a substantial actor like Mary McDonnell, playing a New York madam, against a bogus story that crossbreeds noirish affectations and romantic comedy into an unpalatable mush that suggests strawberry ice cream slathered with beer."
46,The Ideal Husband,1 hr. 28 min.,John Ruffin,2011,Jackée Harry,Darrin Dewitt Henson,Shanti Lowry,Erica Hubbard,Ginuwine,Shirley Murdock,0,57,,,,,
47,Roadkill,1 hr. 28 min.,Johannes Roberts,2011,Stephen Rea,Oliver James,Róisín Murphy,Eliza Bennett,Diarmuid Noyes,Kacey Barnfield,0,8,"An improvement over most of the ""Maneater Series"" entries. Relatively speaking.",,,,
48,Madea's Big Happy Family,1 hr. 46 min.,Tyler Perry,2011,"""Palmer Williams, Jr.""",Chandra Currelley-Yo...,Cassi Davis,Cheryl Pepsii Riley,Crissy Collins,Tamar Davis,38,74,"Like most of Perry's movies, this one oscillates wildly and shamelessly between raunch and pathos, leaving plenty of room for the performers to work. The lively ensemble includes a scene-stealing Cassi Davis as pothead Aunt Bam.","Epitomizing the shrill franchise's schizophrenic tonal shifts, Madea metes out Christian life lessons with one hand -- and righteously bitch-slaps with the other.","The title is meant to be ironic. Too bad irony is in such short supply in Tyler Perry's Madea's Big Happy Family. Sadly, subtlety is also missing.","If Perry gets on your wavelength, you can forgive him too. He's only the host at a home-cooked banquet of wild emotions.","""Madea's Big Happy Family'' nonsensically knots the spiritual and the salacious, asking gossipy questions then giving pulpit answers so that the movie is wonderfully, woefully absurd."
49,In A Better World,1 hr. 53 min.,Susanne Bier,2011,Mikael Persbrandt,Trine Dyrholm,Ulrich Thomsen,Markus Rygaard,Anette Stovelbaek,William Jøhnk Nielse...,77,86,"True, the resolutions on offer seem conventionally pat, yet the tough questions stay with you in an absorbing drama which pushes the viewer's buttons with effective intelligence.","Although this being a film by Susanne Bier, there is unfortunately a good measure of unneeded melodrama stirred in to trivialize the very important thematic concerns.","There's little flash or surprise in Bier's latest well-shot film, but plenty of substance.","A most deserving Oscar winner and a film that could provoke discussion anywhere it is shown, anywhere people of any age are being bullied","Film defies conventional expectations about biblical notions of retribution, even as it initially prepares you to accept them. A truly complex work of art."
50,The Devil's Teardrop,1 hr. 29 min.,Norma Bailey,2010,Natasha Henstridge,Tom Everett Scott,Rena Sofer,Gabriel Hogan,Jonathan Higgins,Kim Roberts,0,35,,,,,
51,Skateland,1 hr. 38 min.,Anthony Burns,2011,Shiloh Fernandez,Ashley Greene,Heath Freeman,A.J. Buckley,Haley Ramm,Brett Cullen,38,36,"A film with some engaging performances and a swell soundtrack whose biggest problem is that it wants to be ""Dazed and Confused"" when it grows up.","Like so many other films set in the Reagan era, Anthony Burns' directorial debut fails to acknowledge the lingering and pervasive angst that shaped anyone growing up in the late Cold War.","Indifferently acted, written and directed, the oft soporific ""Skateland"" is beautifully photographed and boasts a greatest-hits soundtrack, as well as some spot-on art direction.","Though noticeably lacking in originality, Anthony Burns' low-key directorial debut skates by on the charms of its hazy wistfulness and a likable cast.",Anthony Burns's sweetly nostalgic re-creation of small-town Texas in the early 1980s.
52,The 5th Quarter,1 hr. 38 min.,Rick Bieber,2011,Ryan Merriman,Andie MacDowell,Aidan Quinn,Michael Harding,Josh Smith,Stacy Earl,50,62,The film is poorly written and directed at the most basic levels.,This real-life football story fumbles the ball at every decisive juncture.,"It scores points for being that rare ""faith based film"" to show a little edge.",Football tearjerker might be too intense for younger viewers.,A well-acted drama that finds just the right balance between entertaining the audience and provoking them emotionally as well as intellectually. It will make you stand up and cheer.
53,Madso's War,1 hr. 24 min.,Christopher Bertolini,2010,Matthew Marsden,Kevin Chapman,Kelly Overton,Michael Mulheren,David Patrick Kelly,William Lee Scott,0,8,,,,,
54,Christina,1 hr. 30 min.,Larry Brand,2012,Jordan Belfi,Nicki Lynn Aycox,Stephen Lang,Nicki Aycox,Raphael Van Oostrum,,0,100,,,,,
55,On Strike For Christmas,1 hr. 27 min.,Robert Iscove,2010,Daphne Zuniga,David Sutcliffe,Ingrid Rogers,Evan Williams,Victor Zinck Jr.,Julia Duffy,0,27,,,,,
56,The Arbor,1 hr. 30 min.,Clio Barnard,2011,Manjinder Virk,Christine Bottomley,Manjinder Virk,Neil Dudgeon,Monica Dolan,Robert Emms,96,76,"Numerous celluloid experiments have fudged reality and fiction lately, but few are as formally inventive or socially revelatory as The Arbor.","For the morbidly curious, it's mesmerizing. But it's also a singularly watchable story for the strange, and strangely fitting, way in which it's told.",[An] exquisitely crafted docudrama.,"Barnard's boldest move is to unveil the irresponsible chaos of the playwright's private life, and to make us wonder if the art was worth the suffering, after all.","Brings the Dunbar story to life through a technique known as ""verbatim theater,"" in which actors lip-synch testimony from the real people they're portraying."
57,Everything Must Go,1 hr. 37 min.,Daniela Rush,2011,Will Ferrell,Rebecca Hall,Michael Peña,Christopher Jordan W...,Glenn Howerton,Stephen Root,75,53,A gratifying story with a quietly powerful performance from funnyman Will Ferrell.,Has a similar problem to its protagonist: It just sort of sits there.,Good performances by Ferrell and Wallace and fantastic cinematography make Everything Must Go an enjoyable watch.,The best movie Will Ferrell ever made,Gentle understatement that stealthily but surely gets under the skin and touches the heart.
58,Merantau,1 hr. 53 min.,Gareth Evans,2009,Iko Uwais,Sisca Jessica,Mads Koudal,Laurent Buson,Yusuf Aulia,Yahan Ruhian,0,61,"In dire need of a tighter edit and a few smiles, Merantau is a bizarrely lethargic picture, great with violence, but a complete chore to sit through between the punches.",,,,
59,Reach for Me,1 hr. 30 min.,LeVar Burton,2008,Seymour Cassel,Alfre Woodard,Johnny Whitworth,Adrienne Barbeau,Charlene Blaine,LeVar Burton,0,80,"Places a solid cast of smallscreen names in service of well-intentioned but formulaically second-rate material. Next stop, cable.",,,,
